source,target,type
86,14404,"link"
86,14397,"link"
86,14396,"link"
86,13611,"link"
86,13603,"link"
86,13601,"link"
86,13608,"link"
86,13588,"link"
86,13591,"link"
86,13594,"link"
86,13596,"link"
86,13599,"link"
86,13643,"link"
86,13615,"link"
86,14869,"link"
86,13642,"link"
86,13621,"link"
86,13623,"link"
86,13625,"link"
86,14874,"link"
86,14848,"link"
86,14844,"link"
86,13617,"link"
86,14876,"link"
86,14847,"link"
86,14912,"link"
86,14846,"link"
86,14907,"link"
86,14880,"link"
86,17723,"link"
86,17732,"link"
86,17737,"link"
86,17744,"link"
86,17743,"link"
86,14402,"link"
86,17726,"link"
86,17729,"link"
86,17712,"link"
86,14884,"link"
86,17745,"link"
86,17735,"link"
86,17750,"link"
86,17752,"link"
86,17755,"link"
86,17759,"link"
86,17747,"link"
86,17778,"link"
86,17768,"link"
86,17771,"link"
86,17777,"link"
86,15770,"link"
86,17776,"link"
86,16793,"link"
86,17758,"link"
86,2762,"link"
86,3160,"link"
86,14910,"link"
86,14881,"link"
86,2759,"link"
86,2769,"link"
86,13898,"link"
86,2763,"link"
86,2766,"link"
86,2767,"link"
86,4342,"link"
86,2981,"link"
86,3241,"link"
86,13897,"link"
86,3209,"link"
86,17381,"link"
86,3093,"link"
86,17870,"link"
86,3098,"link"
86,3192,"link"
86,4264,"link"
86,12487,"link"
86,11445,"link"
86,2919,"link"
86,4095,"link"
86,3065,"link"
86,5607,"link"
86,10619,"link"
86,7867,"link"
86,3153,"link"
86,3268,"link"
86,9834,"link"
86,12531,"link"
86,9624,"link"
86,11763,"link"
86,5052,"link"
86,7554,"link"
86,10518,"link"
86,5244,"link"
86,11146,"link"
86,11105,"link"
86,11226,"link"
86,12095,"link"
86,7567,"link"
86,9162,"link"
86,6905,"link"
86,3927,"link"
86,9026,"link"
86,9320,"link"
86,5490,"link"
86,12626,"link"
86,9237,"link"
86,8270,"link"
86,5540,"link"
86,4782,"link"
86,8580,"link"
86,4512,"link"
86,12337,"link"
86,8546,"link"
86,8408,"link"
86,9901,"link"
86,10311,"link"
86,7801,"link"
86,7709,"link"
86,6554,"link"
86,11062,"link"
86,6724,"link"
86,10686,"link"
86,5893,"link"
86,6326,"link"
86,11523,"link"
86,4628,"link"
86,7094,"link"
86,4854,"link"
